Part,quantity/length,link
Hex socket head cap screw M3x0.50 x 16 Stainless Steel ,12,https://boltsandnuts.com/products/m3-0-50x16-stainless-a4-70-button-head-socket-cap-screws?variant=49873136943425
Hex socket head cap screw M3x0.50 x 8 Stainless Steel ,8,https://boltsandnuts.com/products/m3-0-5x8-stainless-a2-70-button-head-socket-cap-screws
"3mm polycarbonate sheet, min 10cm*15cm",1,https://www.michaels.com/makerplace/product/0125-inch-3mm-thick-clear-polycarbonate-lexan-sheet-size-12-x-12-397359942971015168
"aluminum flat stock, 2.5in wide 1/8in ",5'',https://www.coremarkmetals.com/6061-t6-aluminum-flat-bar
steel flat stock 2.5in wide 1/16,12'',https://www.coremarkmetals.com/hot-rolled-steel-flat-bar
TPU for printing,-,https://overture3d.com/products/overture-tpu?variant=46988794921214&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorB-a9VkRT8BHAtH22Gq2Ap1wxNxCQvmUqROAA0_N-Lf_IxWjt9qkc
PETG/PCTG for printing,-,https://overture3d.com/products/overture-petg?variant=42224803053822
RDY-MINI-5022-V2 Hubmotor,1,https://justcuzrobotics.com/products/rdy-mini-5022-1700kv-antweight-hubmotor
Mini Brushed Mk2 - Antweight planetary gearmotor,2,https://repeat-robotics.com/collections/drive-motors/products/repeat-mini-brushed-mk2-1pcs
Palm Power 4S 300mAh XT30 Gen2 65C Lipo Battery,1,https://palmbeachbots.com/products/palm-power-4s-300mah-xt30-gen2-65c-lipo-battery?_pos=14&_sid=8fc9ff616&_ss=r&_fid=299226469
fingertech switch,1,https://palmbeachbots.com/products/fingertech-mini-power-switch?srsltid=AfmBOoqyWV9B0oFauqDscvHXQymFys3Rpc-BES1O7cbFvxv3dm1Io4It
Flysky FS2A Receiver,1,https://repeat-robotics.com/collections/electronics/products/flysky-fs2a-receiver
Repeat Robotics AM32 Brushless Drive ESC - Bi-Directional,1,https://repeat-robotics.com/products/repeat-am32-drive-esc
Repeat Robotics Dominion Dual Brushed Drive ESC,1,https://repeat-robotics.com/products/dominion-dual-brushed-drive-esc
Battery charger,1,https://palmbeachbots.com/products/b6-neo-compact-smart-charger-for-1-6s-lipo-b6neo?variant=42562370076854